Heading Number	Heading	URL	Citation Number	Code	Citation	Abbreviation	Access Point Use	Notes
8	Bach, Johann Christoph Friedrich, 1732-1795	https://cmc.wp.musiclibraryassoc.org/thematic-index/bach-johann-christoph-friedrich-1732-1795/	1	<b>Wohlfarth</b>	Wohlfarth, Hannsdieter. <em>Johann Christoph Friedrich Bach.</em> Bern: Francke, 1971.	W. (n 81032678)	Authorized or variant access points.	
9	Bach, Johann Sebastian, 1685-1750	https://cmc.wp.musiclibraryassoc.org/thematic-index/bach-johann-sebastian-1685-1750/	1	<b>Schmieder</b>	Schmieder, Wolfgang. <em>Thematisch-systematisches Verzeichnis der musikalischen Werke von Johann Sebastian Bach.</em> 2d, rev. ed. Wiesbaden: Breitkopf & Härtel, 1990.	BWV (n 79021425)	Authorized or variant access points.	BWV formerly represented by S.; still found in some variant access points.
9	Bach, Johann Sebastian, 1685-1750	https://cmc.wp.musiclibraryassoc.org/thematic-index/bach-johann-sebastian-1685-1750/	2	<b>Blanken</b>	Blanken, Christine, Christoph Wolff, and Peter Wollny, eds. <em>Thematisch-systematisches Verzeichnis der musikalischen Werke von Johann Sebastian Bach.</em> Dritte, erweiterte Neuausgabe. Wiesbaden: Breitkopf & Härtel, 2022.	BWV	For works included in Schmieder, use in variant access points only. For works not included in Schmieder, use in authorized or variant access points.	
10	Bach, Wilhelm Friedemann, 1710-1784	https://cmc.wp.musiclibraryassoc.org/thematic-index/bach-wilhelm-friedemann-1710-1784/	1	<b>Falck</b>	Falck, Martin. <em>Wilhelm Friedemann Bach.</em> Studien zur Musikgeschichte, Bd. 1. Leipzig: C. F. Kahnt, 1913.	F. (n 79145903)	Authorized or variant access points.	
10	Bach, Wilhelm Friedemann, 1710-1784	https://cmc.wp.musiclibraryassoc.org/thematic-index/bach-wilhelm-friedemann-1710-1784/	2	<b>Bach-Repertorium-WFB</b>	Wollny, Peter, ed. <em>Wilhelm Friedemann Bach: thematisch-systematisches Verzeichnis der musikalischen Werke (BR-WFB)</em>. Stuttgart: Carus-Verlag, 2012.	BR (n 79145903)	For works not included in Falck, use in authorized or variant access points. For works in Falck, use in variant access points only.	BR numbers also available in Grove Music Online.
11	Bacheler, Daniel, 1572-1619	https://cmc.wp.musiclibraryassoc.org/thematic-index/bacheler-daniel-1572-1619/	1	<b>Long</b>	Bacheler, Daniel. <em>Selected Works for Lute.</em> Edited and Transcribed by Martin Long. London: Oxford University Press, 1972.	L. (n 81139103)	For lute music; use in authorized or variant access points.	
12	Barber, Samuel, 1910-1981	https://cmc.wp.musiclibraryassoc.org/thematic-index/barber-samuel-1910-1981/	1	<b>Heyman</b>	Heyman, Barbara B. <em>Samuel Barber: A Thematic Catalogue of the Complete Works</em>. New York: Oxford University Press, 2012	H-	For works without opus no.; use in authorized or variant access points.	Index number is given in the form H-# where the punctuation after H is a hyphen and # is an alphanumeric identifier.
13	Bartók, Béla, 1881-1945	https://cmc.wp.musiclibraryassoc.org/thematic-index/bartok-bela-1881-1945/	1	<b>Somfai</b>	Somfai, László. <em>Béla Bartók: Composition, Concepts, and Autograph Sources.</em> Berkeley: University of California Press, 1996.	BB	Variant access points only.	"List of Works and Primary Sources" on p. 297-320 may be used to distinguish between Bartók's various iterations of the same work, for example BB 94a/94b/94c, as listed in Grove Music Online.
14	Bax, Arnold, 1883-1953	https://cmc.wp.musiclibraryassoc.org/thematic-index/bax-arnold-1883-1953/	1	<b>Parlett</b>	Parlett, Graham. <em>A Catalogue of the Works of Sir Arnold Bax.</em> Oxford: Clarendon, 1999.	P. (n 82144206)	Variant access points only.	
15	Beck, Franz Ignaz, 1734-1809	https://cmc.wp.musiclibraryassoc.org/thematic-index/beck-franz-ignaz-1734-1809/	1	<b>Callen</b>	Callen, Anneliese. "Thematic Index." In Viano, Richard J., ed. <em>Foreign Composers in France, 1750-1790.</em> The Symphony, 1720-1840, ser. D, vol. 2. New York: Garland, 1984.	C. (n84018481)	For symphonies without opus no.; use in authorized or variant access points.	Thematic index on p. lxi-lxvi. Also reprinted in: <em>The Symphony, 1720-1840.</em> Reference Volume. New York: Garland, 1986.
16	Beecke, Ignaz von, 1733-1803	https://cmc.wp.musiclibraryassoc.org/thematic-index/beecke-ignaz-von-1733-1803/	1	<b>Murray1981</b>	Murray, Sterling E., ed. <em>Seven Symphonies From the Court of Oettingen-Wallerstein, 1773-1795.</em> The Symphony, 1720-1840, ser. C, vol. 6, New York: Garland, 1981.	M. (n 86023546)	Authorized or variant access points.	Thematic index on p. lxv-lxix.
17	Beethoven, Ludwig van, 1770-1827	https://cmc.wp.musiclibraryassoc.org/thematic-index/beethoven-ludwig-van-1770-1827/	1	<b>Kinsky</b>	Kinsky, Georg, and Hans Halm. <em>Das Werk Beethovens.</em> Munich: Henle, 1955.	WoO (n 79107741)	For works without opus no.; use in authorized or variant access points.	WoO formerly represented by K.; still found in some variant access points.
17	Beethoven, Ludwig van, 1770-1827	https://cmc.wp.musiclibraryassoc.org/thematic-index/beethoven-ludwig-van-1770-1827/	2	<b>Hess</b>	Hess, Willy. <em>Verzeichnis der nicht in der Gesamtausgabe veröffentlichen Werke Ludwig van Beethovens.</em> Wiesbaden: Breitkopf & Härtel, 1957.	H. (n 79107741)	For works without opus no. and not in Kinsky; use in authorized or variant access points.	
18	Benda, Franz, 1709-1786	https://cmc.wp.musiclibraryassoc.org/thematic-index/benda-franz-1709-1786/	1	<b>Lee</b>	Lee, Douglas, A. <em>Franz Benda (1709-1789), a Thematic Catalogue of His Works.</em> Thematic Catalogues, no. 10. New York: Pendragon Press, 1984.	L. (n 82224927)	Authorized or variant access points.	
19	Bennett, William Sterndale, 1816-1875	https://cmc.wp.musiclibraryassoc.org/thematic-index/bennett-william-sterndale-1816-1875/	1	<b>Williamson</b>	Williamson, Rosemary. <em>William Sterndale Bennett: a Descriptive Thematic Catalogue.</em> Oxford: Clarendon, 1996.	WO or U  (n  79072702 )	For works without opus no, use WO in authorized or variant access points. For unfinished works, use U in authorized or variant access points.	In this index, works with opus numbers were not assigned a thematic index number.
20	Binder, Christlieb Siegmund, 1723-1789	https://cmc.wp.musiclibraryassoc.org/thematic-index/binder-christlieb-siegmund-1723-1789/	1	<b>Fleischer</b>	Fleischer, Heinrich. Christlieb Siegmund Binder (1723-1789). Regensburg: Gustav Bosse Verlag, 1941.	F.  (no 91012299)	Authorized and variant access points.	Give numbers in the form F. [Roman numeral], [Arabic numeral]. Example: F. III, 21. For sets of keyboard works with the additional parenthetical qualifiers (A) - (E), do not include the qualifier in the thematic number.
21	Blauth, Brenno, 1931-1993	https://cmc.wp.musiclibraryassoc.org/thematic-index/blauth-brenno-1931-1993/	1	<b>Ferreira</b>	Ferreira, Paulo Affonso de Moura. <em>Brenno Blauth: Catálogo de obras.</em> Compositores brasileiros. [Brasilia]: Ministério das Relações Exteriores, Departamento de Cooperação Cultural, Cientifica e Tecnológica, 1976.	T. (n 81149288)	Authorized or variant access points.	
22	Boccherini, Luigi, 1743-1805	https://cmc.wp.musiclibraryassoc.org/thematic-index/boccherini-luigi-1743-1805/	1	<b>Gérard</b>	Gérard, Yves. <em>Thematic, Bibliographical, and Critical Catalogue of the Works of Luigi Boccherini.</em> Translated by Andreas Mayor. London: Oxford University Press, 1969.	G. (n 79107744)	Authorized or variant access points.	
23	Bornefeld, Helmut, 1906-1990	https://cmc.wp.musiclibraryassoc.org/thematic-index/bornefeld-helmut-1906-1990/	1	<b>Sarwas</b>	Sarwas, Joachim, ed. <em>Helmut Bornefeld: Bornefeld-Werke-Verzeichnis BoWV.</em> Stuttgart: Carus-Verlag, 2006.	BoWV. (n 82105364)	Authorized or variant access points.	Later edition of: Sarwas, Joachim. <em>Helmut Bornefeld: Studien zu seinem "Choralwerk" mit einem Verzeichnis seiner Werke.</em> Europäische Hochschulschriften. Reihe XXXVI, Musikwissenschaft, Bd. 72 (European university studies. Series XXXVI, Musicology, vol. 72)
24	Brahms, Johannes, 1833-1897	https://cmc.wp.musiclibraryassoc.org/thematic-index/brahms-johannes-1833-1897/	1	<b>McCorkle</b>	McCorkle, Margit L. <em>Johannes Brahms: Thematisch-bibliographisches Werkverzeichnis.</em> Munich: G. Henle, 1984.	WoO. (n 79077221)	For works without opus no.; use in authorized or variant access points.	
25	Bridge, Frank, 1879-1941	https://cmc.wp.musiclibraryassoc.org/thematic-index/bridge-frank-1879-1941/	1	<b>Hindmarsh</b>	Hindmarsh, Paul. <em>Frank Bridge: the Complete Works: Portraits of an English Composer in His Time, with Full Thematic Catalog of Works (1900-1941).</em> Rev. ed. Poyton, Cheshire, UK: PHM Publishing, 2016.	H. (n 81009699)	Variant access points only.	Updated from the 1983 edition, published by Faber Music.
26	Bruckner, Anton, 1824-1896	https://cmc.wp.musiclibraryassoc.org/thematic-index/bruckner-anton-1824-1896/	1	<b>Grasberger</b>	Grasberger, Renate. <em>Werkverzeichnis Anton Bruckner (WAB).</em> Tutzing: Verlegt Bei Hans Schneider, 1977.	WAB (n  79145901)	Authorized and variant access points.	<a href="http://www.bruckner-online.at/?page_id=1588">Index also available online </a> (http://www.bruckner-online.at/?page_id=1588)
27	Brunetti, Gaetano, 1744-1798	https://cmc.wp.musiclibraryassoc.org/thematic-index/brunetti-gaetano-1744-1798/	1	<b>Jenkins1986</b>	Jenkins, Newell "Thematic Index." In <em>The Symphony, 1720-1840: Reference Volume.</em> New York: Garland, 1986.	J. (n 81055139)	For overtures, symphonies, and symphonies concertantes; use in variant access points only.	Thematic index on p. 96-101.
27	Brunetti, Gaetano, 1744-1798	https://cmc.wp.musiclibraryassoc.org/thematic-index/brunetti-gaetano-1744-1798/	2	<b>Labrador</b>	Labrador López de Azcona, Germán. <em>Gaetano Brunetti (1744-1798): catálogo crítico, themático y cronológico.</em> Madrid: Asociación Española de Documentación Musical, 2005.	L. (n 81055139)	Authorized or variant access points.	
28	Bull, John, -1628	https://cmc.wp.musiclibraryassoc.org/thematic-index/bull-john-1628/	1	<b>MB1419</b>	Bull, John. <em>Keyboard Music: I.</em> Edited by John Steele & Francis Cameron. With additional material by Thurston Dart. 3d ed., rev. Alan Brown. Musica Britannica, 14. London: Stainer and Bell, 2001.	MB (n 81016939)	Authorized or variant access points.	Earlier editions from 1960 and 1967 have no differences in numbering.
28	Bull, John, -1628	https://cmc.wp.musiclibraryassoc.org/thematic-index/bull-john-1628/	2	<b>MB1419</b>	Bull, John. <em>Keyboard Music: II.</em> Transcribed and edited by Thurston Dart. 2d rev. ed. Musica Britannica, 19. London: Stainer and Bell, 1970.	MB (n 81016939)	Authorized or variant access points.	Earlier editions from 1963 has no differences in numbering.
29	Busoni, Ferruccio, 1866-1924	https://cmc.wp.musiclibraryassoc.org/thematic-index/busoni-ferruccio-1866-1924/	1	<b>Kindermann</b>	Kindermann, Jürgen. <em>Thematisch-chronologisches Verzeichnis der musikalischen Werke von Ferruccio B. Busoni.</em> Regensburg: G. Bosse, 1980.	K.	Variant access points only.	
30	Buxtehude, Dietrich, 1637-1707	https://cmc.wp.musiclibraryassoc.org/thematic-index/buxtehude-dietrich-1637-1707/	1	<b>Karstädt</b>	Karstädt, Georg, ed. <em>Thematisch-systematisches Verzeichnis der musikalischen Werke von Dietrich Buxtehude: Buxtehude-Werke-Verzeichnis (BuxWV) 2.</em>, erw. u. verb. Aufl. Wiesbaden: Breitkopf & Härtel, 1985.	BuxWV (n 810141222)	Authorized or variant access points.	Earlier edition: Karstädt, Georg, <em>Thematisch-systematisches Verzeichnis der musikalischen Werke von Dietrich Buxtehude: Buxtehude-Werke-Verz. (BuxWV).</em> Wiesbaden: Breitkopf und Härtel, 1974.
31	Byrd, William, 1539 or 1540-1623	https://cmc.wp.musiclibraryassoc.org/thematic-index/byrd-william-1539-or-1540-1623/	1	<b>MB2728</b>	Byrd, William. <em>Keyboard Music: I.</em> Transcribed and edited by Alan Brown. 3d, rev. ed. Musica Britannica, 27. London: Stainer and Bell, 1999.	MB (n 50032948)	For keyboard music; use in authorized or variant access points.	Earlier editions from 1976 and 1969. No differences in numbering.
31	Byrd, William, 1539 or 1540-1623	https://cmc.wp.musiclibraryassoc.org/thematic-index/byrd-william-1539-or-1540-1623/	2	<b>MB2728</b>	Byrd, William. <em>Keyboard Music: II.</em> Transcribed and edited by Alan Brown. 3d, rev. ed. Musica Britannica, 28. London: Stainer and Bell, 2004.	MB (n 50032948)	For keyboard music; use in authorized or variant access points.	Earlier editions from 1976 and 1971. No differences in numbering.
32	Cabezón, Antonio, 1510-1566	https://cmc.wp.musiclibraryassoc.org/thematic-index/cabezon-antonio-1510-1566/	1	<b>Jacobs</b>	<em>Gesamtausgabe der Werke von Antonio de Cabezón</em> (The collected works of Antonio de Cabezón). Edited by Charles Jacobs. Brooklyn: Institute of Mediaeval Music, 1967-86.	J. (n 85000681)	Authorized or variant access points.	
33	Cambini, Giuseppe Maria, 1746-1825	https://cmc.wp.musiclibraryassoc.org/thematic-index/cambini-giuseppe-maria-1746-1825/	1	<b>Trimpert</b>	Trimpert, Dieter Lutz. <em>Die quatuors concertants von Giuseppe Cambini.</em> Mainzer Studien zur Musikwissenschaft, ed., Hellmut Federhofer, Bd. 1. Tutzing: Verlegt bei Hans Schneider, 1967.	T. (n 82039432)	Authorized or variant access points.	Correlation between opus no. and other published sets may be found in <em>Musik in Geschichte und Gegenwart,</em> Bd. 15, Supplement (1973).
34	Camerloher, Joseph, 1710-1743	https://cmc.wp.musiclibraryassoc.org/thematic-index/camerloher-joseph-1710-1743/	1	<b>Forsberg</b>	Forsberg, Suzanne. "Thematic Index, Camerloher." In <em>The Symphony, 1720-1840,</em> ed. Barry S. Brook, ser. C, vol. 2. New York: Garland, 1984.	F. (no 92012871)	For symphonies only; use in authorized or variant access points.	Omit spaces between the alphabetic and numeric portion of the designation, e.g., F. JC8; F. SA2; thematic index on p. xliii-lv.
35	Cannabich, Christian, 1731-1798	https://cmc.wp.musiclibraryassoc.org/thematic-index/cannabich-christian-1731-1798/	1	<b>Wolf1986</b>	Wolf, Jean K. "Thematic Index." In <em>The Symphony, 1720-1840: Reference Volume.</em> New York: Garland, 1986.	W. (n 84040740)	For symphonies which have neither opus no. nor sequential no. assigned by the composer; use in authorized or variant access points.	Thematic index on p. 126-141.
36	Chadwick, G. W. (George Whitefield), 1854-1931	https://cmc.wp.musiclibraryassoc.org/thematic-index/chadwick-g-w-george-whitefield-1854-1931/	1	<b>Faucett</b>	Faucett, Bill F. <em>George Whitefield Chadwick: a Bio-Bibliography.</em> Westport, CT: Greenwood Press, 1998.	W	Variant access points only.	The number that goes with the abbreviation should come directly after the abbreviation with no intervening spaces. There is no full stop for the abbreviation. For example, “W30” not “W 30” or “W. 30”.
37	Chambonnières, Jacques Champion de, approximately 1602-approximately 1672	https://cmc.wp.musiclibraryassoc.org/thematic-index/chambonnieres-jacques-champion-de-approximately-1602-approximately-1672/	1	<b>Brunold1967</b>	Chambonnières, Jacques Champion de. <em>Oeuvres completes.</em> Edited by Paul Brunold and André Tessier. English Translation and New Preface by Denise Restout. New York: Broude Brothers, 1967.	B. (n 79075509)	Authorized or variant access points.	Earlier edition in French published in 1925. No changes in numbering.
37	Chambonnières, Jacques Champion de, approximately 1602-approximately 1672	https://cmc.wp.musiclibraryassoc.org/thematic-index/chambonnieres-jacques-champion-de-approximately-1602-approximately-1672/	2	<b>Gustafson</b>	Gustafson, Bruce. <em>Chambonnières: a Thematic Catalogue.<em> <a href="https://cdn.ymaws.com/www.musiclibraryassoc.org/resource/resmgr/BCC_Resources/JSCM_Instrumenta_2012.pdf">JSCM Instrumenta, 1</a>. Champaign: University of Illinois Press, 2007- Accessed Oct. 2, 2012.</em></em>	G.	Variant access points only.	
38	Chaminade, Cécile, 1857-1944	https://cmc.wp.musiclibraryassoc.org/thematic-index/chaminade-cecile-1857-1944/	1	<b>Citron</b>	Citron, Marcia J. <em>Cécile Chaminade: a Bio-Bibliography.</em> Bio-Bibliographies in Music, no. 15. New York: Greenwood Press, 1988.	W, WU (n 81076989)	Variant access points only.	Index for works & performances on pp. 33-92.
39	Charpentier, Marc-Antoine, 1643-1704	https://cmc.wp.musiclibraryassoc.org/thematic-index/charpentier-marc-antoine-1643-1704/	1	<b>Hitchcock</b>	Hitchcock, H.W. <em>Les œuvres de Marc-Antoine Charpentier: Catalogue raisonné.</em> The works of Marc-Antoine Charpentier). La Vie musicale en France sous les rois Bourbons. Paris: Picard, 1982.	H. (n 79135306)	Authorized or variant access points.	
40	Chopin, Frédéric, 1810-1849	https://cmc.wp.musiclibraryassoc.org/thematic-index/chopin-frederic-1810-1849/	1	<b>Brown</b>	Brown, Maurice J.E. <em>Chopin: An Index of His Works in Chronological Order.</em> New York: St. Martin's Press, 1960.	B. (n 79127769)	For works without opus no.; use in authorized or variant access points.	
41	Cimarosa, Domenico, 1749-1801	https://cmc.wp.musiclibraryassoc.org/thematic-index/cimarosa-domenico-1749-1801/	1	<b>Coen</b>	Cimarosa, Domenico. <em>Sonate per clavicembalo o fortepiano.</em> Edited by Andrea Coen. Padua: G. Zanibon, 1990-92.	C.	For keyboard sonatas; use in authorized or variant access points.	No. 667 is present in the authority record for Cimarosa.
42	Clementi, Muzio, 1752-1832	https://cmc.wp.musiclibraryassoc.org/thematic-index/clementi-muzio-1752-1832/	1	<b>Tyson</b>	Tyson, Alan. <em>Thematic Catalogue of the Works of Muzio Clementi.</em> Tutzing: Hans Schneider, 1967.	T. (n 50041431)	For works without opus no.; use in authorized or variant access points.	
43	Clérambault, Louis-Nicolas, 1676-1749	https://cmc.wp.musiclibraryassoc.org/thematic-index/clerambault-louis-nicolas-1676-1749/	1	<b>Cessac</b>	Cessac, Catherine. <em>Nicolas Clérambault.</em> Paris: Fayard, 1998.	C.	Variant access points only.	
44	Colista, Lelio, 1629-1680	https://cmc.wp.musiclibraryassoc.org/thematic-index/colista-lelio-1629-1680/	1	<b>Wessely</b>	Wessely, Helene. <em>Lelio Colista, ein römischer Meister vor Corelli.</em> Vienna: H. Böhlaus, 1961.	W-K. (n 83175870)	Authorized or variant access points.	
45	Coperario, John, approximately 1570-1626	https://cmc.wp.musiclibraryassoc.org/thematic-index/coperario-john-approximately-1570-1626/	1	<b>Charteris1977</b>	Charteris, Richard. <em>John Coprario: A Thematic Catalogue of His Music With a Bibliographical Introduction.</em> New York: Pendragon Press, 1977.	RC. (n 81134938)	Authorized or variant access points.	
45	Coperario, John, approximately 1570-1626	https://cmc.wp.musiclibraryassoc.org/thematic-index/coperario-john-approximately-1570-1626/	2	<b>Meyer-Coperario</b>	Meyer, Ernst Hermann. <em>Die mehrstimmige Spielmusik des 17. Jahrhunderts in Nord- und Mitteleuropa.</em> Kassel: Bärenreiter-Verlag, 1934.	M.	Variant access points only.	
46	Couperin, Louis, approximately 1626-1661	https://cmc.wp.musiclibraryassoc.org/thematic-index/couperin-louis-approximately-1626-1661/	1	<b>Brunold</b>	Couperin, Louis. <em>Pièces de clavecin.</em> Edited by Paul Brunold, newly revised by Davitt Moroney. Monaco: Editions de l'Oiseau-Lyre, 1985.	B. (n 81071430)	Authorized or variant access points.	
47	Cramer, J. B. (Johann Baptist), 1771-1858	https://cmc.wp.musiclibraryassoc.org/thematic-index/cramer-j-b-johann-baptist-1771-1858/	1	<b>Milligan</b>	Milligan, Thomas B. <em>Johann Baptist Cramer (1771-1858): a Thematic Catalogue of His Works.</em> Stuyvesant, NY: Pendragon Press, 1994.	M. (n 80138516)	For use in authorized and variant access points.	Used for works without opus no.
48	Croubelis, Simoni dall, approximately 1727-approximately 1790	https://cmc.wp.musiclibraryassoc.org/thematic-index/croubelis-simoni-dall-approximately-1727-approximately-1790/	1	<b>Hatting1</b>	Hatting, Carsten E., Niels Krabbe, and Nanna Schiødt, eds. <em>The Symphony in Denmark.</em> The Symphony, 1720-1840, ser. F, vol. 6. New York: Garland, 1983.	no. (n 82158855)	For symphonies only; use in authorized or variant access points.	Thematic index on p. xxxv-xxxvi.
49	Danzi, Franz, 1763-1826	https://cmc.wp.musiclibraryassoc.org/thematic-index/danzi-franz-1763-1826/	1	<b>Pechstaedt</b>	Pechstaedt, Volkmar von. <em>Thematisches Verzeichnis der Kompositionen von Franz Danzi (1763-1826).</em> Tutzing: H. Schneider, 1996.	P. (n 81139107)	For works without opus no.; use in authorized or variant access points.	
50	Dering, Richard, approximately 1580-1630	https://cmc.wp.musiclibraryassoc.org/thematic-index/dering-richard-approximately-1580-1630/	1	<b>Dodd-Dering</b>	Dodd, Gordon, ed. <em>Thematic Index of Music for Viols.</em> [London]: Viola da Gamba Society of Great Britain, 1980-92.	VdGS no. (n 79081240)	For consort works; use in authorized or variant access points.	<a href="http://vdgs.org.uk/thematic/">Index available online </a>(http://vdgs.org.uk/thematic/)
51	Deutschmann, Gerhard, 1933-	https://cmc.wp.musiclibraryassoc.org/thematic-index/deutschmann-gerhard-1933/	1	<b>Haas</b>	Haas, Wolfgang G., ed. <em>Gerhard Deutschmann : Deutschmann-Werke-Verzeichnis, DWV.</em> Cologne: W. G. Haas, 2002.	DWV (n 80041174)	Authorized or variant access points.	
52	Dittersdorf, Karl Ditters von, 1739-1799	https://cmc.wp.musiclibraryassoc.org/thematic-index/dittersdorf-karl-ditters-von-1739-1799/	1	<b>Krebs</b>	Krebs, Carl. <em>Dittersdorfiana.</em> Berlin: Gebrüder Paetel, 1900.	K. (n 80097553)	Authorized or variant access points.	
53	Donizetti, Gaetano, 1797-1848	https://cmc.wp.musiclibraryassoc.org/thematic-index/donizetti-gaetano-1797-1848/	1	<b>Inzaghi1983</b>	Inzaghi, Luigi. “Catalogo generale delle opere.” In Tintori, Giampiero, ed. <em>Gaetano Donizetti.</em> Milan: Nuove Edizioni, 1983.	In. (n 79132358)	Authorized or variant access points.	Thematic index on p. 131-262.
54	Dowland, John, 1563?-1626	https://cmc.wp.musiclibraryassoc.org/thematic-index/dowland-john-1563-1626/	1	<b>Poulton</b>	Poulton, Diana. <em>John Dowland.</em> London: Faber and Faber, 1972.	P. (n 80008102)	Authorized or variant access points.	
55	Dušek, František Xaver, 1731-1799	https://cmc.wp.musiclibraryassoc.org/thematic-index/dusek-frantisek-xaver-1731-1799/	1	<b>Sýkora</b>	Sýkora, Václav Jan. <em>František Xaver Dušek : Život a dílo.</em> Praha : Státní nakladatelství krásné literatury, hudby a umění, 1958.	S. (n 81074634)	For authorized and variant access points.	Thematic index on pages 195-283.
55	Dušek, František Xaver, 1731-1799	https://cmc.wp.musiclibraryassoc.org/thematic-index/dusek-frantisek-xaver-1731-1799/	2	<b>Altner</b>	Altner, Vladimír. “Thematic index : Dušek.” In <em>The Symphony, 1720-1840,</em> ed. Barry S. Brook, ser. B, vol. 12. New York : Garland Publishing, 1984.	A. (n 81074634)	For symphonies; for use in variant access points only.	Thematic index on p. xxxvii-xli.
56	Dussek, Johann Ladislaus, 1760-1812	https://cmc.wp.musiclibraryassoc.org/thematic-index/dussek-johann-ladislaus-1760-1812/	1	<b>Craw</b>	Craw, H. Allen. <em>A Biography and Thematic Catalog of the Works of J.L. Dussek (1760-1812).</em> Los Angeles: University of Southern California, 1964.	C.	Variant access points only.	
57	Dvořák, Antonín, 1841-1904	https://cmc.wp.musiclibraryassoc.org/thematic-index/dvorak-antonin-1841-1904/	1	<b>Burghauser</b>	Burghauser, Jarmil, and John Clapham. <em>Antonín Dvořák, thematický katalog.</em> 2d ed. Prague: Bärenreiter Editio Supraphon, 1996.	B. (n 81033190)	For string quartets and works without opus no.; use in authorized or variant access points.	Earlier edition from 1960 has no change in numbering.
58	Eckhardt-Gramatté, S. C. (Sophie-Carmen), 1899-1974	https://cmc.wp.musiclibraryassoc.org/thematic-index/eckhardt-gramatte-s-c-sophie-carmen-1899-1974/	1	<b>Eckhardt-Gramatté</b>	Eckhardt-Gramatté, S.C. <em>Selected Works.</em> Winnipeg, Canada: Estate S.C. Eckhardt-Grammatté, 1980-	E. (n 81075897)	Authorized or variant access points.	
59	Erbach, Christian, -1635	https://cmc.wp.musiclibraryassoc.org/thematic-index/erbach-christian-1635/	1	<b>Rayner</b>	Erbach, Christian. <em>Collected Keyboard Compositions</em> Edited by Clare G. Rayner. Corpus of Early Keyboard Music, 36. N.p.: American Institute of Musicology, 1971-77.	R. (n 88673378)	For keyboard works; use in authorized or variant access points.	
60	Eybler, Joseph, Edler von, 1765-1846	https://cmc.wp.musiclibraryassoc.org/thematic-index/eybler-joseph-edler-von-1765-1846/	1	<b>Herrmann</b>	Herrmann, Hildegard Luise Appelbaum. <em>Thematisches Verzeichnis der Werke von Joseph Eybler.</em> Musikwissenschaftliche Schriften, Bd. 10. Munich: E. Katzbichler, 1976.	H. (n 82101505)	Authorized or variant access points.	
61	Fasch, Johann Friedrich, 1688-1758	https://cmc.wp.musiclibraryassoc.org/thematic-index/fasch-johann-friedrich-1688-1758-2/	1	<b>Pfeiffer</b>	Pfeiffer, Rüdiger. <em>Verzeichnis der Werke von Johann Friedrich Fasch (FWV).</em> Dokumente und Materialien zur Musikgeschichte des Bezirkes Magdeburg, 1. Magdeburg: Rat des Bezirkes, 1988.	FWV (n 81048462)	Authorized or variant access points.	
61	Fasch, Johann Friedrich, 1688-1758	https://cmc.wp.musiclibraryassoc.org/thematic-index/fasch-johann-friedrich-1688-1758-2/	2	<b>Küntzel</b>	Küntzel, Gottfried. "Die Instrumentalkonzerte von Johann Friedrich Fasch (1688-1758)." Doctoral diss., Johann Wolfgang Goethe-Universität, Frankfurt am Main, 1965.	K.	Variant access points only.	
62	Ferrabosco, Alfonso, 1543-1588	https://cmc.wp.musiclibraryassoc.org/thematic-index/ferrabosco-alfonso-1543-1588/	1	<b>Charteris1984</b>	Charteris, Richard. <em>Alfonso Ferrabosco the Elder (1543-1588): A Thematic Catalogue of His Music: With a Biographical Calendar.</em> Thematic Catalogue Series, no. 11. New York: Pendragon Press, 1984.	RC (n 82224324)	Authorized or variant access points.	
63	Fiala, Joseph, 1748-1816	https://cmc.wp.musiclibraryassoc.org/thematic-index/fiala-joseph-1748-1816/	1	<b>Reinländer</b>	Reinländer, Claus. <em>Joseph Fiala: Thematisch-systematisches Werkverzeichnis.</em> 2d ed. Puchheim: Edition Engel, 1997.	WV (n 81080915)	Authorized or variant access points.	
64	Field, John, 1782-1837	https://cmc.wp.musiclibraryassoc.org/thematic-index/field-john-1782-1837/	1	<b>Hopkinson</b>	Hopkinson, Cecil. <em>A Bibliographical Thematic Catalogue of the Works of John Field.</em> London: The author, 1961.	H.	Variant access points only.	
65	Franck, César, 1822-1890	https://cmc.wp.musiclibraryassoc.org/thematic-index/franck-cesar-1822-1890/	1	<b>Mohr</b>	Mohr, Wilhelm. <em>Caesar Franck.</em> 2., erg. Aufl. Tutzing: H. Schneider, 1969.	FWV	Variant access points only.	
65	Franck, César, 1822-1890	https://cmc.wp.musiclibraryassoc.org/thematic-index/franck-cesar-1822-1890/	2	<b>Fauquet</b>	Fauquet, Joël-Marie. <em>César Franck.</em> Paris: Fayard, 1999.	CFF (n 79130762)	For use in variant access points only.	Index on pages 847-932.
66	Frederick II, King of Prussia, 1712-1786	https://cmc.wp.musiclibraryassoc.org/thematic-index/frederick-ii-king-of-prussia-1712-1786/	1	<b>Spitta</b>	Frederick II. <em>Friedrichs des Grossen musikalische Werke.</em> Edited by Phillipp Spitta. Leipzig: Breitkopf & Härtel, [1889].	S. (n 80056902)	Authorized or variant access points.	
