Heading Number	Heading	URL	Citation Number	Code	Citation	Abbreviation	Access Point Use	Notes
187	Tomasini, Luigi, 1741-1808	https://cmc.wp.musiclibraryassoc.org/thematic-index/tomasini-luigi-1741-1808/	1	<b>Korčak</b>	Tomasini, Luigi. <em>Ausgewählte Instrumentalwerke</em>. Veröffentlicht von Erich Schenk. Denkmäler der Tonkunst in Österreich, Bd. 124. Graz: Akademische Druck- u. Verlagsanstalt, 1972.	K. (no 90014532)	Authorized or variant access points.	Numbers in DTÖ are taken from: Korčak, Friedrich. "Luigi Tomasini (1741-1808), Konzertmeister der fürstlich Esterhászyschen Kapelle in Eisenstadt unter Joseph Haydn." PhD diss., Universität Wien, 1952.
188	Tomkins, Thomas, 1572-1656	https://cmc.wp.musiclibraryassoc.org/thematic-index/tomkins-thomas-1572-1656/	1	<b>Tuttle</b>	Tomkins, Thomas. <em>Keyboard Music.</em> Edited by Stephen D. Tuttle. Musica Britannica, 5. London: Stainer and Bell, 1955.	T. (n 79081351)	For keyboard music; use in authorized or variant access points.	
189	Torelli, Giuseppe, 1658-1709	https://cmc.wp.musiclibraryassoc.org/thematic-index/torelli-giuseppe-1658-1709/	1	<b>Passadore</b>	Passadore, Francesco. <em>Catalogo tematico delle composizioni di Giuseppe Torelli (1658-1709).</em> Padua: I solisti veneti, 2007.	P. (n 80079577)	For works without opus no.; use in authorized or variant access points.	
189	Torelli, Giuseppe, 1658-1709	https://cmc.wp.musiclibraryassoc.org/thematic-index/torelli-giuseppe-1658-1709/	2	<b>Giegling</b>	Giegling, Franz. <em>Giuseppe Torelli: Ein Beitrag zur Entwicklungsgeschichte des italienischen Konzerts.</em> Kassel: Bärenreiter, 1949.	G.	Variant access points only.	
190	Tubin, Eduard, 1905-1982	https://cmc.wp.musiclibraryassoc.org/thematic-index/tubin-eduard-1905-1982/	1	<b>Rumessen</b>	Rumessen, Vardo. <em>The Works of Eduard Tubin: Thematic-Bibliographical Catalogue of Works: ETW.</em> Tallinn: International Eduard Tubin Society, 2003.	ETW	Variant access points only.	
191	Tye, Christopher, 1497?-1572	https://cmc.wp.musiclibraryassoc.org/thematic-index/tye-christopher-1497-1572/	1	<b>Weidner</b>	<em>Christopher Tye: The Instrumental Music.</em> Edited by Robert Weidner. New Haven: A-R Editions, 1967.	W. (n 79091199)	For consort music; use in authorized or variant access points.	
192	Vanhal, Johann Baptist, 1739-1813	https://cmc.wp.musiclibraryassoc.org/thematic-index/vanhal-johann-baptist-1739-1813/	1	<b>Weinmann</b>	Weinmann, Alexander. <em>Themen-Verzeichnis der Kompositionen von Johann Baptiste Wanhal.</em> Wiener Archivstudien, Bd. 11. Vienna: Krenn, 1987.	W. (n 81022281)	For works other than symphonies; use in authorized or variant access points.	
192	Vanhal, Johann Baptist, 1739-1813	https://cmc.wp.musiclibraryassoc.org/thematic-index/vanhal-johann-baptist-1739-1813/	2	<b>Bryan</b>	Bryan, Paul Robey. "The Symphonies of Johann Vanhal." Vol. 1. Ph.D. diss., University of Michigan, 1956.	B. (n 81022281)	For symphonies; use in authorized or variant access points.	Thematic index on p. 270-280.
193	Villa-Lobos, Heitor	https://cmc.wp.musiclibraryassoc.org/thematic-index/villa-lobos-heitor/	1	<b>Appleby</b>	Appleby, David P. <em>Heitor Villa-Lobos: a Bio-Bibliography.</em> Bio-Bibliographies in Music, no. 9. New York: Greenwood Press, 1988.	See note.	Variant access point use only.	Use the number as it appears in the catalog.
194	Viotti, Giovanni Battista, 1755-1824	https://cmc.wp.musiclibraryassoc.org/thematic-index/viotti-giovanni-battista-1755-1824/	1	<b>White</b>	White, Chappell. <em>Giovanni Battista Viotti (1755-1824): A Thematic Catalogue of his Works.</em> Thematic Catalogues, no. 12. New York: Pendragon Press, 1985.	W. (n 81149945)	For instrumental works; use in authorized or variant access points.	
